USA,CAN,MEX,COL,PER,BRA,CHL,ARG,GBR,IRL,NLD,BEL,FRA,CHE,ESP,PRT,DEU,POL,AUT,CZE,ITA,GRC,ROU,FIN,SWE,NOR,DNK,ZAF,TUR,EGY,ISR,QAT,KAZ,CHN,KOR,JPN,IND,PAK,THA,MYS,SGP,PHL,IDN,AUS,NZL
-0.534579603,-2.439316419,-2.042735901,3.341398469,-3.029006436,1.342770676,3.698499654,-5.275396678,-1.282302135,2.452374094,1.371673922,0.617794674,-1.733409244,-1.962710294,3.148226662,6.148851918,-0.12587346,-0.39922095,-2.233803012,-2.020011983,0.264167441,4.836330671,4.67668078,2.893335521,-1.044060949,0.032145644,-0.273725215,-6.246807201,5.683436014,-10.45464599,-2.980320278,-18.02740185,63.00425347,3.929687417,-3.443426397,-1.482573948,1.868324392,14.728497,-3.96782099,2.87889256,2.116781562,-0.487542095,3.007341918,-1.966287321,-3.364881194
0.48695417,0.764943101,-0.521237569,-0.078086351,-3.446555172,-5.516058591,-1.422723777,6.817442953,2.071881045,4.129322569,3.542135055,1.123868803,5.106229019,1.734151025,1.203370568,8.281140946,3.61289503,-2.077687061,2.654811899,-0.340969322,1.624049903,-2.548771535,-7.48013692,10.22882994,7.868933781,10.15267918,6.105756436,6.922609064,-12.9693334,-5.784193269,-1.404820635,2.793244725,10.11644518,2.70759172,-1.2088119,1.763548505,9.167646231,-3.020169859,-2.019848194,0.883313031,1.546975599,5.002913168,8.169803143,-0.289014224,-0.277841873
0.621994237,4.186509574,4.67598424,-2.949446625,16.3698469,8.943477335,1.167978818,19.111379,5.236697805,2.58948665,3.222086263,5.035856994,2.712752086,5.743594341,3.882048333,2.964407023,4.321120009,15.16459062,4.095099925,-0.198238016,3.919946008,3.409146608,4.031548618,5.6310315,4.50143997,8.487392207,5.637050959,3.135637744,4.569925675,-2.365074047,3.517779096,-1.862542611,7.963819069,3.939234192,6.089731686,2.214880387,2.816408935,-4.113571805,8.14927535,3.572975604,5.77770137,-0.543682599,13.67513209,8.485830171,5.825539348
-3.739817914,-3.413554245,-11.75847283,-20.12249528,-10.9000296,-16.96771601,-7.537624025,-18.81080438,-2.702941084,-2.458560744,-4.817204858,-3.874920352,-2.198663052,-3.769943123,-3.17873234,-4.256357531,-4.464575122,-12.42193271,-6.500995786,-7.821300763,-0.775941977,-7.773080635,-4.407878818,-6.686361806,-7.203608945,-5.502868796,-5.185946876,-15.99862009,-28.5689376,-17.88065464,-7.403636888,-15.77645839,-18.98423802,-4.472421368,-8.397496498,-6.998443384,-14.95218587,-16.85719519,-9.821598907,-3.151537886,-8.880785405,-0.406279035,-12.62925916,-6.320019076,-8.033190408
-0.716400988,-2.385018104,1.719037887,-13.75266197,8.864401865,5.354955023,-2.272933376,6.225281716,0.170814543,-2.215146145,-0.952039063,-1.773594405,0.325125908,-0.988157304,0.51879009,0.220060661,-1.777854139,-0.772513517,-1.292151973,4.188948673,-0.249729741,-0.424425623,-0.633099198,-3.604279243,-0.503019379,-4.597786644,-1.901030434,-4.196650491,-8.045436418,-10.75226114,-9.919923199,-2.204603637,-17.83599943,3.379617278,-2.471865335,-1.934753135,1.233152461,2.289797943,-4.894075846,-3.706093988,1.624609114,-7.658193064,-0.029397708,-0.008528865,-6.981374964
-0.412195888,-0.436693119,6.123414919,13.4444515,6.493579944,0.343940323,-0.393924267,-1.583609397,1.544573071,-1.322777526,1.748613815,1.999080813,-0.092437997,2.410475534,2.510751389,0.631978476,-1.090541731,15.96164211,-0.456518257,3.79036835,-0.289649206,0.331951637,8.94714423,-1.733735437,-2.370973084,2.218741452,-1.1333529,-0.679783719,7.298364095,15.58317302,0.741949373,1.992397776,1.661539861,3.69451037,-0.901464248,-1.299277378,-0.651705296,3.920846893,2.724199823,1.962818561,-0.529313189,14.32786486,6.080775171,0.473834651,-0.410434019
1.573446287,3.212836175,2.662421093,6.196250209,-0.183930711,-1.380598685,2.699021204,-5.198208756,1.590730627,7.519495934,4.201973925,4.160277387,2.450708157,1.834110842,2.516919922,2.176437468,2.801170596,-8.661789543,0.15295482,0.40669278,3.292478314,2.486331107,-0.462277626,3.945739955,2.967132754,-2.775750566,5.697425289,-1.055378611,5.29776731,8.61098491,3.564977588,-4.563668258,4.897065577,2.061381107,1.63590949,0.659234844,8.580698095,-4.919269877,1.082863349,1.772419795,2.619909718,-1.672085161,2.410942217,2.236577112,3.827555211
1.678667566,-3.842476593,4.020194769,-2.76342259,2.096257746,-2.705578498,3.221280418,-2.504638108,-1.368583262,0.122259773,2.265532127,2.500314829,0.027523894,0.632055544,4.471104016,1.744916167,0.639240636,-3.575535029,1.218579878,-1.914501182,-1.012687815,-0.238538226,-0.363256103,-3.324064491,3.793104081,-7.952991111,1.592866639,-7.222090616,-5.362442921,3.402657324,0.001674141,-4.430128328,7.334955676,5.32816558,2.213453577,-2.475880876,6.997153001,5.388412462,0.332091747,-0.387608027,2.199109213,10.92305914,2.645093233,-2.166336746,2.580382223
2.659347537,4.047611377,6.091834467,7.772158189,4.187592258,7.784417955,6.439038924,8.591935111,4.234732642,3.507264064,-0.316664878,2.159712697,1.942385301,1.915508373,6.658725058,1.778236406,4.251300016,8.410409339,4.670582951,7.729124601,3.346179219,5.730191687,9.440365723,3.052892829,5.616060774,7.810407749,3.631009993,10.33606127,14.26705722,1.366819013,2.23123148,-4.957089823,0.651341292,8.660451313,-1.179352837,0.982920252,5.884527868,5.9074895,7.070645765,3.296934652,7.552224758,5.936233707,0.519833864,7.497208334,7.075915653
1.146293657,2.057960464,3.643980743,-3.919873504,5.468149841,5.240094477,5.294197765,15.06621529,1.606577116,3.356036815,1.950477999,1.144749748,3.133320136,2.357938046,3.927257195,4.404938304,3.757959223,9.626807956,3.883992643,6.325954022,4.773914297,4.922765169,-0.958475029,2.554634871,3.200127843,8.394425972,5.69066877,6.855033706,-7.810518565,0.085435329,1.699074042,-17.20299958,17.90074,9.833682747,4.750240354,-0.127600412,4.879740046,-5.819094015,3.972159606,10.26420356,6.299574921,1.964490382,8.483341183,3.278795774,3.627358463
